big_id,big_category,small_id,small_category
2494,レディースファッション,36861,トップス
2494,レディースファッション,36913,スカート、パンツ
2494,レディースファッション,36887,ワンピース、チュニック
2494,レディースファッション,36903,オールインワン、上下セットアップ
2494,レディースファッション,37052,ジャケット、アウター
2494,レディースファッション,1729,レディースシューズ
2494,レディースファッション,1574,レディースバッグ
2494,レディースファッション,1667,財布、ファッション小物
2494,レディースファッション,37524,水着
2494,レディースファッション,1503,着物、浴衣
2494,レディースファッション,1462,下着、靴下、部屋着
2494,レディースファッション,37129,スーツ、フォーマル
2494,レディースファッション,37019,コート
2494,レディースファッション,37163,ドレス、ブライダル
2494,レディースファッション,37529,学生服
2494,レディースファッション,37557,コスチューム、コスプレ衣装
2494,レディースファッション,1750,その他
2495,メンズファッション,36504,トップス
2495,メンズファッション,36624,ボトムス、パンツ
2495,メンズファッション,36583,ジャケット
2495,メンズファッション,1740,メンズシューズ、紳士靴
2495,メンズファッション,1582,メンズバッグ
2495,メンズファッション,1695,財布、ファッション小物
2495,メンズファッション,36743,メンズ水着
2495,メンズファッション,1571,着物、メンズ浴衣
2495,メンズファッション,1545,下着、靴下、部屋着
2495,メンズファッション,36699,ワイシャツ
2495,メンズファッション,36717,ネクタイ
2495,メンズファッション,36672,スーツ、フォーマル
2495,メンズファッション,36571,コート、アウター
2495,メンズファッション,36736,学生服
2495,メンズファッション,37644,その他メンズファッション
2496,腕時計、アクセサリー,5192,メンズ腕時計
2496,腕時計、アクセサリー,5190,レディース腕時計
2496,腕時計、アクセサリー,1639,腕時計用品
2496,腕時計、アクセサリー,40974,スマートウォッチ
2496,腕時計、アクセサリー,1643,懐中時計
2496,腕時計、アクセサリー,1591,レディースアクセサリー
2496,腕時計、アクセサリー,1605,メンズアクセサリー
2496,腕時計、アクセサリー,5184,ペアアクセサリー
2496,腕時計、アクセサリー,40965,ブライダルアクセサリー
2496,腕時計、アクセサリー,1637,宝石ルース、裸石
2496,腕時計、アクセサリー,14679,アクセサリーリフォーム
