"cloth_name","color_code","small_type","price","image_url","big_type","cloth_code","cloth_describe"
"タンクトップ シフォン フレア ブラウス トップス C1864","null","トップス","1290","http://item.shopping.c.yimg.jp/i/g/kobelettuce_c1864","レディースファッション","0000","シンプルだけど女性らしい！シンプルシフォンフレアタンクトップ/ブラウストップス/レディース  インナーとしても、1枚着としてもOKな万能タンクトップ！ 身ごろ部分は立体的に見えるよう設計されていてシルエットをきれいに見せてくれます。 【素材・サイズ感】 カットソー生地を裏地に表はシフォン生地の2枚重ねデザイン。 直接肌に触れる部分はカットソーなのでさらっとした着心地です。 【スタイリング】 インナーでも1枚でも着れインもアウトも決まります。  ◆MODEL(左166cm:コーラル/右168cm:ボーダーオフ着) ※キャンセル/変更不可  【サイズ】 ワンサイズ(M)  【実寸(cm)約】 ●着丈…66 (裏地） 61 ●肩幅…32 (裏地） 32 ●胸囲…86 (裏地) 86 ●ウエスト…92 (裏地） 92 ●裾周り…100 (裏地） 98 ●袖周り…40 (裏地） 40 【素材】 (表地) ポリエステル100% (裏地※ブラウン/花柄オフホワイト/花柄ネイビー) ポリエステル95% ポリウレタン5% (裏地※その他カラー) ポリエステル65% レーヨン35%  ※【伸縮】裏地あり/【淡色透け】若干あり/【濃色透け】若干あり/【裏地】あり"
"カットソー トップス レディース バルーン C2275","null","トップス","1590","http://item.shopping.c.yimg.jp/i/g/kobelettuce_c2275","レディースファッション","0001","大人の可愛さを引き出すふんわりボリュームスリーブ！バルーン袖☆カットソートップス/レディース  大人可愛いルックスへと誘うふんわりと膨らんだバルーン袖が魅力のTシャツ。  ゆとりのあるシルエットで華奢見せ効果も○ 【素材・サイズ感】 落ち感がなめらかな素材をチョイス。 こだわりの柔らかい素材はデイリーを過ごしやすいリラックス感あふれる着心地。  【スタイリング】 コーディネートしやすいワントーンにまとまった色味で着回し力も◎ふんわりシルエットで大人フェミニンなコーデに仕上げてくれる一着！  ◆MODEL(168cm:左アイボリー/右コーラル着) ※キャンセル/変更不可  【サイズ】 ワンサイズ(M)  【実寸(cm)約】 ●着丈…56 ●肩幅…51 ●胸囲…96 ●ウエスト…98 ●裾周り…106 ●袖丈…22 ●袖周り…34 ●袖口…24 【素材】 ポリエステル65% レーヨン35%  ※【伸縮】あり/【淡色透け】若干あり/【濃色透け】なし /【裏地】なし"
"ブラウス リボン ジョーゼット トップス レディース C2181","null","トップス","1990","http://item.shopping.c.yimg.jp/i/g/kobelettuce_c2181","レディースファッション","0002","大人のこなれ感を演出！[無地/ストライプ柄/花柄]前結びリボンジョーゼットブラウストップス  テロっとした落ち感と、 フロントでちょこんと結ぶリボンのデザインが女性らしいジョーゼット生地のブラウスが登場！  【素材・サイズ感】 軽やかなジョーゼットで、 夏にも着やすい素材が嬉しい。 さらっとした肌触りで着心地○ 【スタイリング】 抜け感あるコーディネートが実現します。 パンツもスカートも合わせやすい丈感なので、 ヘビーユース間違いなし。 ラフすぎないオトナの上質コーデを完成させてくれます。  ◆MODEL(164cm:オフストライプ着) ※キャンセル/変更不可  【サイズ】 ワンサイズ(M)  【実寸(cm)約】 ●着丈…(前) 59 (後) 67 ●肩幅…45 ●胸囲…104 ●ウエスト…112 ●裾周り…102 ●袖丈…20 ●袖周り…44 ●袖口…34 【素材】 ポリエステル100%  ※【伸縮】なし/【淡色透け】若干あり/【濃色透け】若干あり/【裏地】なし"
"Tシャツ レディース コットン トップス ベーシック ドルマン フレア Vネック Ｔシャツ C2136","null","トップス","1090","http://item.shopping.c.yimg.jp/i/g/kobelettuce_c2136","レディースファッション","0003","ちょうどいいから、また着たくなる！選べる4Type×8色♪コットン100%Tシャツ/レディース  コットン100％のナチュラルな風合いが着心地の良いTシャツ。 デイリーに使いやすいシンプルなデザインなので、 どんなテイストのスタイリングでも合わせやすい。 豊富なカラーバリエーションと選べる4タイプのシルエットで、 あなたのお気に入りの1枚が見つかるはず。  【素材・サイズ感】 ややハリのあるくたっとした生地感。 吸水性に優れているので、 汗が気になる季節も着心地よく快適に過ごせます。  【スタイリング】 シンプルにデニム合わせでも◎  ◆MODEL(166cm:オフホワイト・Vネック着) ※キャンセル/変更不可  【サイズ】 ワンサイズ(M)  【実寸(cm)約】 ●(basic/fl/d/V)着丈…53/57/67/(前)61(後)70 ●肩幅…39/35/(襟開き)18/41 ●胸囲…100/82/134/102 ●ウエスト…100/82/118/100 ●裾周り…102/84/98/104 ●袖丈…16/16/35/19 ●袖周り…42/40/FREE/44 ●袖口…34/48/26/34 【素材】 コットン100%  ※【伸縮】あり/【淡色透け】若干あり/【濃色透け】若干あり/【裏地】なし"
"Tシャツ オーバーサイズ ロゴ シンプル Tシャツ ゆるTシャツ 半袖 カットソー チュニック C2000送料無料メ便対応","null","トップス","1090","http://item.shopping.c.yimg.jp/i/g/kobelettuce_c2000","レディースファッション","0004","※【代金引換便】以外のお支払いにて1点までのご注文は【メール便】発送となります。 Tシャツ オーバーサイズ ロゴ シンプル 人気ロゴT2016ver！選べる柄プリントデザインゆるシルエット半袖Tシャツトップス/カットソーチュニック/レディース  豊富なカラバリとプリントが選べる！ 神戸レタス殿堂入りアイテムの選べるTシャツシリーズに待望の2016Ver.が登場です！  【素材・サイズ感】 薄すぎず分厚すぎず、 肌触りの優しい素材で着心地も抜群。 ゆるっとしたルーズさと落ち感があり、 こなれ感のある一枚です。 体型カバー効果も発揮しながら、 もたつきも少ないのでレイヤードStyleもOK○  【スタイリング】 大人っぽいプリントでどんなコーデにも合わせやすく、 今から長い期間お使い頂ける優秀ITEMです。  ◆MODEL(166cm:デカロゴ・オフホワイト着) ※キャンセル/変更不可  【サイズ】 ワンサイズ(M)  【実寸(cm)約】 ●着丈…64 ●襟開き幅…21 ●胸囲…110 ●ウエスト…116 ●裾周り…130 ●袖丈…22 ●袖口…45 【素材】 ポリエステル　62％　レーヨン　33％　ポリウレタン　5％  ※【伸縮】あり/【淡色透け】若干あり/【濃色透け】若干あり/【裏地】なし"
"夏セール★Tシャツ 半袖 チュニック レディース Roomey AU208送料無料メ便対応","null","トップス","590","http://item.shopping.c.yimg.jp/i/g/kobelettuce_au208","レディースファッション","0005","※【代金引換便】以外のお支払いにて1点までのご注文は【メール便】発送となります。 [Roomey]無地/ボーダー/ストライプ！胸ポケット付☆シンプルゆる半袖チュニックTシャツ/レディース  上質なカットソー素材を毎日のワードローブに。 着心地とシルエットにこだわった神戸レタスオリジナルの[Roomey]シリーズ！ シリーズ人気No1のポケットゆる半袖Tシャツの登場。  【素材・サイズ感】 2016年夏のRoomeyは今までよりも薄手の素材でより涼しく、 通気性の良い素材を使用。 　肌触りの良い柔らかい生地がヤミツキに。  【スタイリング】 長めの丈感でアウトでもINでもバランス良く着て頂けます。 シンプルでこなれ感のあるデザインなのでどんなボトムとも好相性○  ◆MODEL(166cm:オフホワイト着) ※キャンセル/変更不可  【サイズ】 ワンサイズ(M)  【実寸(cm)約】 ●着丈…71 ●襟開き幅…28 ●胸囲…120 ●ウエスト…110 ●ヒップ…104 ●裾周り…102 ●袖丈…24 ●袖周り…FREE ●袖口…44 【素材】 ポリエステル62% レーヨン33% ポリウレタン5%  ※【伸縮】あり/【淡色透け】若干あり/【濃色透け】若干あり/【裏地】なし"
"トップス/シフォン/カットソー/ブラウス/異素材/秋新作/秋冬/MD2","null","トップス","1480","http://item.shopping.c.yimg.jp/i/g/pierrot-webshop_n1607-011457","レディースファッション","0006","トップス/シフォン/カットソー/ブラウス/異素材  【商品名】 3typeから選べるシフォン切り替えトップス  ■素材 ポリエステル100％ [別布]ポリエステル65％、レーヨン35％  ■商品仕様 【裏地】なし 【透け感】[淡色]あり　[濃色]若干あり 【伸縮性】カットソー生地にあり  ■備考 商品には起毛加工がされているため少し毛羽たちなどが生じます。  ■商品説明 身頃はカットソー素材を使用しており、レーヨン混なので上品で柔らかく、 ストレスフリーな着心地なのが嬉しいポイントです。 フロントと袖の柔らかなシフォン素材が、エアリーでフェミニンな印象へと導いてくれる優れもの！ フロントネックにタックを施したAtypeは、 ふんわりとしたドレープを作り出し、女性らしさを際立たせてくれます。 ショルダーにタックを施したBtype/Ctypeは、 タックが程よくゆったりとしたシルエットを作り出し、華奢見え効果を◎  ※商品サイズは当店平置き・メジャー採寸です。 ※生産の過程上『生地を織る際の糸の継ぎ目』繊維の『混紡』、プレス加工によって形やサイズ（2〜3cm前後）に誤差が生じる場合がございますが品質上の問題はございませんのでご了承の上お買い求め下さいませ。"
"タンクトップ レディース カットソー ドルマンスリーブ Tシャツ セット AU209","null","トップス","1990","http://item.shopping.c.yimg.jp/i/g/kobelettuce_au209","レディースファッション","0007","[Roomey]嬉しい2点Set♪無地/ボーダー！カットソードルマンTシャツ×シンプルタンクトップセット/レディース  上質なカットソー素材を毎日のワードローブに。 着心地とシルエットにこだわった神戸レタスオリジナルの[Roomey]シリーズ！ 別々でも使えるTシャツ&amp;タンクトップ。  【素材・サイズ感】 2016年夏のRoomeyは今までよりも薄手の素材でより涼しく通気性の良い素材を使用。 肌触りの良い柔らかい生地がヤミツキに。 インナーにピッタリのタンクトップとゆるいシルエットがかわいいTシャツのSET。  【スタイリング】 着回しも自由自在で毎日ヘビロテ間違いなしのイチオシITEMです。  ◆MODEL(166cm:サーモン×オフ着) ※キャンセル/変更不可  【サイズ】 ワンサイズ(M)  【実寸(cm)約】 ●(トップス/インナー)着丈…59/70 ●襟開き幅…23/18 ●胸囲…112/80 ●ウエスト…102/74 ●裾周り…94/85 ●袖丈…23/× ●袖周り…FREE/38 ●袖口…30/× 【素材】 ポリエステル62% レーヨン33% ポリウレタン5%  ※【伸縮】あり/【淡色透け】若干あり/【濃色透け】若干あり/【裏地】なし"
"秋新作 パフスリーブ ニットソー 半袖 C1983","null","トップス","1990","http://item.shopping.c.yimg.jp/i/g/kobelettuce_c1983","レディースファッション","0008","大人映えするLADYなトップス♪パフスリーブタートルニットソー半袖トップス/レディース  ボリューミーなパフスリーブがかわいいニットソートップス。 コンパクトなシルエットに、 ふわりと二の腕をカバーしてくれるスリーブが魅力的！  【素材感】 柔らかな肌触りのニットソーは、 適度な保温性で秋冬に使いやすい。  【着心地・サイズ感】 コンパクトなサイズ感できちんと感も○肌あたりもライトなのが嬉しい。  【スタイリング】 今年もトレンドのタートルネックは、 きっちり折って大人に着たり、 のばしてクシュっと着たりと、 コーデや気分によってアレンジ可能！  ◆MODEL(164cm:グレー着) ※キャンセル/変更不可  【サイズ】 ワンサイズ(M)  【実寸(cm)約】 ●着丈…56 ●肩幅…33 ●胸囲…84 ●ウエスト…80 ●裾周り…71 ●袖丈…30 ●袖周り…42 ●袖口…20 【素材】 ポリエステル65%　レーヨン35%  ※【伸縮】あり/【淡色透け】若干あり/【濃色透け】若干あり/【裏地】なし"
"タンクトップ/重ね着/インナー/ノースリーブ/レディース","null","トップス","410","http://item.shopping.c.yimg.jp/i/g/andit_gks3070-71","レディースファッション","0009","商品名：カラーコットンベーシックタンクトップ  何着あっても困らない、とにかく使えるタンクトップ☆豊富なカラバリ＆プチプラだからまとめ買いにもおすすめです♪9色・M〜LLの3サイズ展開です！  ■スタッフから( 159 ｃｍ) 【Ｍ】サイズはスッキリとしたサイズ感でした◎インナー使いには最適ですね☆着丈はヒップの半分が隠れるくらいです。【Ｌ】サイズはヒップがすっぽりと隠れるロング丈でした！ゆとりのある程よいフィット感で着やすいです♪  [サイズ/ｃｍ] (M)着丈：約65ｃｍ、バスト：約76ｃｍ、アームホール：約46ｃｍ、ネック：(幅)約23ｃｍ(深さ)約12.5ｃｍ、裾幅：約43ｃｍ (L)着丈：約68ｃｍ、バスト：約84ｃｍ、アームホール：約49ｃｍ、ネック：(幅)約23.5ｃｍ(深さ)約13ｃｍ、裾幅：約46ｃｍ (LL)着丈：約70ｃｍ、バスト：約92ｃｍ、アームホール：約53ｃｍ、ネック：(幅)約24.5ｃｍ(深さ)約13.5ｃｍ、裾幅：約48ｃｍ  [素材/％] 綿100(杢グレーのみ綿60/ポリエステル40)  バングラデシュ製  ※生地を光にかざすと透け感がございます。  ※メール便可⇒(3)"
